emp_id,measurement_period,measurement_date,tasks_completed_per_week,ai_tools_used_count,pct_tasks_using_ai,copilot_sessions_per_week,manager_performance_rating,self_reported_efficiency_gain_pct
EMP1000,pre_training,2025-02-15,11,0,0.0,0,2.5,0.0
EMP1000,post_training,2025-05-08,14,5,48.5,7,3.5,25.7
EMP1001,pre_training,2025-02-16,12,0,0.0,0,3.5,0.0
EMP1001,post_training,2025-05-18,14,4,46.6,15,4.0,28.1
EMP1002,pre_training,2025-02-15,10,0,0.0,0,2.5,0.0
EMP1002,post_training,2025-04-30,11,1,17.8,4,2.5,11.4
EMP1003,pre_training,2025-02-19,10,0,0.0,0,3.5,0.0
EMP1003,post_training,2025-05-04,10,0,0.0,0,3.5,0.0
EMP1004,pre_training,2025-02-18,10,0,0.0,0,2.5,0.0
EMP1004,post_training,2025-05-02,12,5,63.0,6,3.5,18.3
EMP1005,pre_training,2025-02-27,10,0,0.0,0,3.5,0.0
EMP1005,post_training,2025-05-12,11,1,26.6,4,4.0,11.3
EMP1006,pre_training,2025-02-21,9,0,0.0,0,2.5,0.0
EMP1006,post_training,2025-05-06,9,0,0.0,0,2.5,0.0
EMP1007,pre_training,2025-02-22,11,0,0.0,0,2.5,0.0
EMP1007,post_training,2025-05-18,13,3,67.7,5,3.5,38.3
EMP1008,pre_training,2025-02-24,12,0,0.0,0,4.0,0.0
EMP1008,post_training,2025-05-04,16,5,56.6,5,4.5,22.2
EMP1009,pre_training,2025-02-27,8,0,0.0,0,3.5,0.0
EMP1009,post_training,2025-05-17,10,4,55.3,11,4.5,37.4
EMP1010,pre_training,2025-02-17,11,0,0.0,0,3.5,0.0
EMP1010,post_training,2025-05-02,12,2,23.8,3,4.0,13.0
EMP1011,pre_training,2025-02-17,11,0,0.0,0,2.5,0.0
EMP1011,post_training,2025-05-02,12,1,20.9,3,2.5,5.8
EMP1012,pre_training,2025-02-24,10,0,0.0,0,3.5,0.0
EMP1012,post_training,2025-05-31,12,5,54.9,12,4.5,26.2
EMP1013,pre_training,2025-02-19,10,0,0.0,0,4.0,0.0
EMP1013,post_training,2025-05-25,12,3,42.6,15,5.0,24.1
EMP1014,pre_training,2025-02-27,9,0,0.0,0,2.5,0.0
EMP1014,post_training,2025-05-12,9,0,0.0,0,2.5,0.0
EMP1015,pre_training,2025-02-24,12,0,0.0,0,4.0,0.0
EMP1015,post_training,2025-05-09,12,0,0.0,0,4.0,0.0
EMP1016,pre_training,2025-03-01,8,0,0.0,0,3.0,0.0
EMP1016,post_training,2025-05-14,9,2,17.2,5,3.0,11.1
EMP1017,pre_training,2025-02-18,25,0,0.0,0,4.0,0.0
EMP1017,post_training,2025-05-04,32,4,55.5,6,4.5,28.2
EMP1018,pre_training,2025-02-17,21,0,0.0,0,3.5,0.0
EMP1018,post_training,2025-05-13,26,3,73.6,5,4.0,27.5
EMP1019,pre_training,2025-02-22,21,0,0.0,0,2.5,0.0
EMP1019,post_training,2025-05-07,21,0,0.0,0,2.5,0.0
EMP1020,pre_training,2025-02-26,19,0,0.0,0,4.0,0.0
EMP1020,post_training,2025-05-22,22,5,50.0,12,4.5,18.1
EMP1021,pre_training,2025-02-22,16,0,0.0,0,4.0,0.0
EMP1021,post_training,2025-05-07,17,2,29.9,3,4.5,12.1
EMP1022,pre_training,2025-03-01,23,0,0.0,0,3.5,0.0
EMP1022,post_training,2025-05-14,25,1,24.2,2,4.0,10.1
EMP1023,pre_training,2025-02-19,16,0,0.0,0,3.0,0.0
EMP1023,post_training,2025-04-27,20,3,67.7,5,4.0,28.9
EMP1024,pre_training,2025-02-24,20,0,0.0,0,4.0,0.0
EMP1024,post_training,2025-05-09,20,0,0.0,0,4.0,0.0
EMP1025,pre_training,2025-02-15,23,0,0.0,0,3.0,0.0
EMP1025,post_training,2025-04-30,25,1,11.3,4,3.5,10.3
EMP1026,pre_training,2025-02-24,21,0,0.0,0,2.5,0.0
EMP1026,post_training,2025-05-09,21,0,0.0,0,2.5,0.0
EMP1027,pre_training,2025-02-27,20,0,0.0,0,2.5,0.0
EMP1027,post_training,2025-05-15,24,5,58.1,7,3.0,34.2
EMP1028,pre_training,2025-02-19,17,0,0.0,0,4.0,0.0
EMP1028,post_training,2025-05-07,21,3,69.1,13,4.5,22.6
EMP1029,pre_training,2025-02-22,17,0,0.0,0,3.5,0.0
EMP1029,post_training,2025-05-07,19,1,16.9,5,4.0,13.5
EMP1030,pre_training,2025-02-20,19,0,0.0,0,3.0,0.0
EMP1030,post_training,2025-05-17,24,5,49.6,15,4.0,30.4
EMP1031,pre_training,2025-02-26,16,0,0.0,0,3.0,0.0
EMP1031,post_training,2025-06-03,20,5,45.4,15,4.0,36.1
EMP1032,pre_training,2025-02-23,24,0,0.0,0,2.5,0.0
EMP1032,post_training,2025-05-08,24,0,0.0,0,2.5,0.0
EMP1033,pre_training,2025-02-16,15,0,0.0,0,2.5,0.0
EMP1033,post_training,2025-05-13,17,5,67.0,9,3.0,34.2
EMP1034,pre_training,2025-02-21,16,0,0.0,0,2.5,0.0
EMP1034,post_training,2025-05-06,16,0,0.0,0,2.5,0.0
EMP1035,pre_training,2025-02-28,18,0,0.0,0,3.5,0.0
EMP1035,post_training,2025-05-13,18,0,0.0,0,3.5,0.0
EMP1036,pre_training,2025-02-25,14,0,0.0,0,4.0,0.0
EMP1036,post_training,2025-05-10,14,0,0.0,0,4.0,0.0
EMP1037,pre_training,2025-02-22,16,0,0.0,0,3.5,0.0
EMP1037,post_training,2025-05-07,16,0,0.0,0,3.5,0.0
EMP1038,pre_training,2025-02-18,10,0,0.0,0,3.0,0.0
EMP1038,post_training,2025-05-28,12,4,56.3,10,3.5,22.8
EMP1039,pre_training,2025-02-22,15,0,0.0,0,3.5,0.0
EMP1039,post_training,2025-05-02,19,3,66.6,13,4.0,23.0
EMP1040,pre_training,2025-02-19,17,0,0.0,0,2.5,0.0
EMP1040,post_training,2025-05-24,20,3,44.9,5,3.5,38.6
EMP1041,pre_training,2025-02-25,16,0,0.0,0,3.0,0.0
EMP1041,post_training,2025-05-17,21,3,68.5,14,4.0,19.7
EMP1042,pre_training,2025-02-23,12,0,0.0,0,4.0,0.0
EMP1042,post_training,2025-05-08,13,2,20.0,3,4.5,5.2
EMP1043,pre_training,2025-02-28,16,0,0.0,0,4.0,0.0
EMP1043,post_training,2025-05-12,21,3,60.4,5,4.5,22.0
EMP1044,pre_training,2025-02-17,17,0,0.0,0,3.5,0.0
EMP1044,post_training,2025-05-02,18,1,18.6,3,4.0,12.6
EMP1045,pre_training,2025-02-23,15,0,0.0,0,2.5,0.0
EMP1045,post_training,2025-05-08,16,1,17.3,3,2.5,8.9
EMP1046,pre_training,2025-02-22,17,0,0.0,0,3.5,0.0
EMP1046,post_training,2025-05-29,22,5,63.8,6,4.0,39.4
EMP1047,pre_training,2025-02-18,16,0,0.0,0,3.5,0.0
EMP1047,post_training,2025-05-27,20,4,59.5,10,4.0,20.0
EMP1048,pre_training,2025-02-19,18,0,0.0,0,4.0,0.0
EMP1048,post_training,2025-05-04,18,0,0.0,0,4.0,0.0
EMP1049,pre_training,2025-02-28,10,0,0.0,0,2.5,0.0
EMP1049,post_training,2025-05-13,10,0,0.0,0,2.5,0.0
EMP1050,pre_training,2025-03-01,15,0,0.0,0,4.0,0.0
EMP1050,post_training,2025-06-07,18,3,61.2,13,4.5,23.2
EMP1051,pre_training,2025-02-19,10,0,0.0,0,3.5,0.0
EMP1051,post_training,2025-05-27,12,5,65.9,9,4.5,27.7
EMP1052,pre_training,2025-02-20,10,0,0.0,0,4.0,0.0
EMP1052,post_training,2025-05-05,11,2,19.5,1,4.5,8.3
EMP1053,pre_training,2025-02-21,6,0,0.0,0,4.0,0.0
EMP1053,post_training,2025-05-06,6,0,0.0,0,4.0,0.0
EMP1054,pre_training,2025-02-20,6,0,0.0,0,4.0,0.0
EMP1054,post_training,2025-05-09,7,5,67.4,14,4.5,33.0
EMP1055,pre_training,2025-02-18,10,0,0.0,0,4.0,0.0
EMP1055,post_training,2025-05-03,11,2,13.0,2,4.0,10.7
EMP1056,pre_training,2025-02-20,6,0,0.0,0,3.0,0.0
EMP1056,post_training,2025-05-27,7,4,54.7,11,3.5,25.3
EMP1057,pre_training,2025-02-25,10,0,0.0,0,4.0,0.0
EMP1057,post_training,2025-05-11,13,5,65.5,7,4.5,29.0
EMP1058,pre_training,2025-02-24,9,0,0.0,0,4.0,0.0
EMP1058,post_training,2025-05-22,11,3,56.1,13,5.0,28.7
EMP1059,pre_training,2025-03-01,8,0,0.0,0,4.0,0.0
EMP1059,post_training,2025-06-04,9,3,49.8,9,4.5,38.5
EMP1060,pre_training,2025-02-25,8,0,0.0,0,3.5,0.0
EMP1060,post_training,2025-05-11,10,5,64.7,10,4.5,23.7
EMP1061,pre_training,2025-02-20,8,0,0.0,0,3.5,0.0
EMP1061,post_training,2025-05-05,8,0,0.0,0,3.5,0.0
EMP1062,pre_training,2025-02-21,10,0,0.0,0,4.0,0.0
EMP1062,post_training,2025-05-06,11,2,26.4,2,4.5,5.4
EMP1063,pre_training,2025-02-28,6,0,0.0,0,3.5,0.0
EMP1063,post_training,2025-05-13,6,0,0.0,0,3.5,0.0
EMP1064,pre_training,2025-02-23,8,0,0.0,0,4.0,0.0
EMP1064,post_training,2025-05-08,8,2,28.7,3,4.0,6.1
EMP1065,pre_training,2025-03-01,10,0,0.0,0,3.0,0.0
EMP1065,post_training,2025-05-14,11,1,22.8,1,3.0,9.1
EMP1066,pre_training,2025-02-15,9,0,0.0,0,2.5,0.0
EMP1066,post_training,2025-04-30,9,0,0.0,0,2.5,0.0
EMP1067,pre_training,2025-02-18,7,0,0.0,0,2.5,0.0
EMP1067,post_training,2025-05-03,8,1,18.1,4,3.0,11.5
EMP1068,pre_training,2025-02-18,24,0,0.0,0,3.5,0.0
EMP1068,post_training,2025-05-03,24,0,0.0,0,3.5,0.0
EMP1069,pre_training,2025-02-21,20,0,0.0,0,2.5,0.0
EMP1069,post_training,2025-05-06,22,1,20.7,1,2.5,9.2
EMP1070,pre_training,2025-02-28,22,0,0.0,0,2.5,0.0
EMP1070,post_training,2025-05-13,24,2,25.8,2,3.0,13.8
EMP1071,pre_training,2025-02-19,20,0,0.0,0,3.5,0.0
EMP1071,post_training,2025-04-27,25,3,72.5,10,4.5,26.4
EMP1072,pre_training,2025-02-20,30,0,0.0,0,4.0,0.0
EMP1072,post_training,2025-05-20,39,3,69.8,12,5.0,19.8
EMP1073,pre_training,2025-02-24,21,0,0.0,0,3.5,0.0
EMP1073,post_training,2025-05-09,22,2,23.0,2,3.5,12.4
EMP1074,pre_training,2025-02-17,24,0,0.0,0,3.0,0.0
EMP1074,post_training,2025-04-29,28,5,71.4,11,4.0,17.2
EMP1075,pre_training,2025-02-18,30,0,0.0,0,2.5,0.0
EMP1075,post_training,2025-05-03,32,1,19.5,2,2.5,7.6
EMP1076,pre_training,2025-02-18,23,0,0.0,0,4.0,0.0
EMP1076,post_training,2025-05-03,25,2,16.0,5,4.0,7.6
EMP1077,pre_training,2025-02-19,25,0,0.0,0,3.0,0.0
EMP1077,post_training,2025-04-26,29,3,56.3,7,4.0,32.2
EMP1078,pre_training,2025-02-25,24,0,0.0,0,2.5,0.0
EMP1078,post_training,2025-05-10,24,0,0.0,0,2.5,0.0
EMP1079,pre_training,2025-02-16,24,0,0.0,0,3.5,0.0
EMP1079,post_training,2025-05-01,26,1,29.1,4,3.5,9.5
EMP1080,pre_training,2025-02-24,29,0,0.0,0,3.5,0.0
EMP1080,post_training,2025-05-20,35,5,71.9,13,4.0,34.0
EMP1081,pre_training,2025-02-22,30,0,0.0,0,2.5,0.0
EMP1081,post_training,2025-05-07,32,2,11.6,5,2.5,5.6
EMP1082,pre_training,2025-02-21,28,0,0.0,0,3.0,0.0
EMP1082,post_training,2025-05-28,35,3,45.8,13,4.0,17.9
EMP1083,pre_training,2025-02-24,23,0,0.0,0,4.0,0.0
EMP1083,post_training,2025-05-09,24,2,26.2,4,4.0,10.1
EMP1084,pre_training,2025-02-28,27,0,0.0,0,2.5,0.0
EMP1084,post_training,2025-05-30,33,5,68.2,5,3.5,21.4
EMP1085,pre_training,2025-02-27,12,0,0.0,0,3.0,0.0
EMP1085,post_training,2025-05-12,12,0,0.0,0,3.0,0.0
EMP1086,pre_training,2025-02-15,12,0,0.0,0,4.0,0.0
EMP1086,post_training,2025-04-30,13,1,20.8,1,4.0,14.9
EMP1087,pre_training,2025-03-01,19,0,0.0,0,2.5,0.0
EMP1087,post_training,2025-05-24,23,3,66.9,15,3.5,24.4
EMP1088,pre_training,2025-02-20,18,0,0.0,0,4.0,0.0
EMP1088,post_training,2025-05-05,20,2,17.5,5,4.0,11.5
EMP1089,pre_training,2025-02-19,17,0,0.0,0,2.5,0.0
EMP1089,post_training,2025-05-04,20,5,53.8,7,3.0,35.9
EMP1090,pre_training,2025-02-19,12,0,0.0,0,3.5,0.0
EMP1090,post_training,2025-05-04,13,2,20.6,2,3.5,9.6
EMP1091,pre_training,2025-02-20,14,0,0.0,0,3.5,0.0
EMP1091,post_training,2025-05-05,16,5,66.8,5,4.5,30.4
EMP1092,pre_training,2025-02-21,12,0,0.0,0,3.0,0.0
EMP1092,post_training,2025-05-09,14,3,60.8,12,3.5,21.1
EMP1093,pre_training,2025-02-20,12,0,0.0,0,4.0,0.0
EMP1093,post_training,2025-05-05,13,1,25.1,1,4.0,10.0
EMP1094,pre_training,2025-02-28,16,0,0.0,0,3.0,0.0
EMP1094,post_training,2025-05-13,16,0,0.0,0,3.0,0.0
EMP1095,pre_training,2025-03-01,17,0,0.0,0,3.5,0.0
EMP1095,post_training,2025-06-05,20,3,74.5,13,4.0,25.3
EMP1096,pre_training,2025-02-20,16,0,0.0,0,2.5,0.0
EMP1096,post_training,2025-05-05,17,1,22.5,4,3.0,5.5
EMP1097,pre_training,2025-02-16,17,0,0.0,0,4.0,0.0
EMP1097,post_training,2025-05-02,22,4,64.4,11,4.5,22.5
EMP1098,pre_training,2025-02-26,14,0,0.0,0,4.0,0.0
